epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8271.63,1.06045,0.55505,1.04723,0.95326,0.91816,0.95468,0.6919,1.00792,0.48496,1.05298,0.00643101,0.00643101,0.00643101
43,8468.86,1.05787,0.5529,1.04263,0.96064,0.9131,0.9545,0.69221,0.99092,0.48517,1.05207,0.00628101,0.00628101,0.00628101
44,8665.86,1.05859,0.55274,1.04586,0.95765,0.91621,0.95519,0.6914,1.00097,0.48084,1.04892,0.00612981,0.00612981,0.00612981
45,8862.39,1.04579,0.54779,1.03918,0.96672,0.90881,0.95665,0.6951,1.00136,0.47688,1.05178,0.00597754,0.00597754,0.00597754
46,9059.72,1.044,0.54454,1.03742,0.95763,0.91609,0.95671,0.69428,0.9967,0.47366,1.04852,0.00582435,0.00582435,0.00582435
47,9256.51,1.03993,0.54804,1.03677,0.96331,0.91582,0.95549,0.69687,0.98783,0.47297,1.0454,0.0056704,0.0056704,0.0056704
48,9453.16,1.03028,0.53729,1.03115,0.96046,0.91777,0.95631,0.69376,0.99609,0.4723,1.04759,0.00551584,0.00551584,0.00551584
49,9650.06,1.03328,0.53332,1.0334,0.95772,0.91818,0.95569,0.69671,0.98419,0.47029,1.04535,0.00536081,0.00536081,0.00536081
50,9847.34,1.02476,0.5315,1.03105,0.96582,0.91405,0.95657,0.69617,0.98442,0.46842,1.05049,0.00520548,0.00520548,0.00520548
51,10044.7,1.02043,0.52861,1.03119,0.96536,0.91543,0.95661,0.69766,0.98857,0.46966,1.05065,0.00505,0.00505,0.00505
52,10242.2,1.01506,0.52556,1.02595,0.96357,0.91758,0.95594,0.69474,0.98837,0.46571,1.04753,0.00489452,0.00489452,0.00489452
53,10439.6,1.01342,0.52338,1.02145,0.96604,0.91446,0.95645,0.69889,0.98144,0.46501,1.0471,0.00473919,0.00473919,0.00473919
54,10637.2,1.00265,0.52058,1.02018,0.96312,0.91589,0.95706,0.69874,0.97687,0.46442,1.04351,0.00458416,0.00458416,0.00458416
55,10835.2,1.00573,0.51912,1.0202,0.95429,0.91894,0.95498,0.69635,0.97747,0.4658,1.04626,0.0044296,0.0044296,0.0044296
56,11032.3,1.00514,0.51961,1.02224,0.95754,0.91991,0.95572,0.69689,0.97688,0.46099,1.0427,0.00427565,0.00427565,0.00427565
57,11229.6,0.99458,0.51163,1.01727,0.95767,0.91991,0.95639,0.69737,0.97461,0.46047,1.04127,0.00412246,0.00412246,0.00412246
58,11426.7,0.99518,0.5104,1.0152,0.959,0.9207,0.95649,0.70039,0.97024,0.45892,1.04052,0.00397019,0.00397019,0.00397019
59,11623.6,0.99075,0.5097,1.01317,0.95605,0.92518,0.95665,0.69768,0.9736,0.45978,1.04461,0.00381899,0.00381899,0.00381899
60,11820.8,0.98077,0.50241,1.00973,0.95928,0.92069,0.95712,0.6983,0.97403,0.4619,1.04439,0.00366899,0.00366899,0.00366899
61,12018.2,0.98486,0.50573,1.01319,0.95632,0.92323,0.95631,0.6982,0.97391,0.46044,1.04322,0.00352037,0.00352037,0.00352037
62,12215.9,0.97601,0.50112,1.0068,0.95516,0.92479,0.95652,0.6978,0.97351,0.45834,1.04281,0.00337325,0.00337325,0.00337325
63,12413.5,0.97374,0.49906,1.00932,0.95855,0.92373,0.95756,0.69949,0.97385,0.45668,1.04433,0.00322778,0.00322778,0.00322778
64,12611.6,0.96861,0.49482,1.00765,0.95681,0.92389,0.95873,0.6999,0.97661,0.45566,1.04513,0.00308412,0.00308412,0.00308412
65,198.472,0.96744,0.49625,1.00491,0.96094,0.9242,0.95822,0.70213,0.97024,0.4535,1.04223,0.00294239,0.00294239,0.00294239
66,399.912,0.96131,0.49077,1.00241,0.95985,0.92233,0.95756,0.70114,0.97113,0.45447,1.04178,0.00280275,0.00280275,0.00280275
67,599.301,0.96289,0.49007,1.00275,0.96082,0.92231,0.95762,0.70161,0.97205,0.45413,1.04396,0.00266532,0.00266532,0.00266532
68,798.158,0.9592,0.4863,1.00294,0.95718,0.92347,0.95703,0.70023,0.97447,0.45324,1.04486,0.00253024,0.00253024,0.00253024
69,996.793,0.95207,0.48568,1.00197,0.96276,0.92069,0.95748,0.7005,0.97333,0.45245,1.04354,0.00239766,0.00239766,0.00239766
70,1194.47,0.95458,0.48312,1.00275,0.96151,0.92005,0.95755,0.7015,0.97106,0.45184,1.04227,0.00226769,0.00226769,0.00226769
71,1395.02,0.94782,0.48233,0.99947,0.9606,0.92167,0.9576,0.69975,0.97396,0.45362,1.04358,0.00214046,0.00214046,0.00214046
72,1594.18,0.94638,0.48059,0.99798,0.95945,0.92323,0.95789,0.70083,0.97367,0.45348,1.04379,0.00201611,0.00201611,0.00201611
73,1793.9,0.93896,0.47895,0.99432,0.96019,0.92245,0.95795,0.70012,0.97395,0.45342,1.04379,0.00189475,0.00189475,0.00189475
74,1993.51,0.93694,0.47602,0.99409,0.96192,0.92206,0.9584,0.70122,0.97364,0.45314,1.04402,0.00177651,0.00177651,0.00177651
75,2192.99,0.93328,0.4721,0.99311,0.96312,0.92128,0.95903,0.70218,0.97326,0.45243,1.04473,0.00166149,0.00166149,0.00166149
76,2393.25,0.93667,0.47375,0.99223,0.96315,0.92188,0.95848,0.70256,0.97208,0.45115,1.04444,0.00154982,0.00154982,0.00154982
